created at 2024/01/12 11:34:10
発電所ID,発電所名,状態・故障信号ID,状態・故障信号名,状態・故障種別
S001,道の駅木更津うまくたの里,ANN_067_0,双方向電源_重故障①_ｲﾝﾊﾞｰﾀﾋｭｰｽﾞ断,high
S001,道の駅木更津うまくたの里,ANN_068_0,双方向電源_重故障①_ｲﾝﾊﾞｰﾀ過電流,high
S001,道の駅木更津うまくたの里,ANN_069_0,双方向電源_重故障①_ｲﾝﾊﾞｰﾀ過熱,high
S001,道の駅木更津うまくたの里,ANN_070_0,双方向電源_重故障①_ｲﾝﾊﾞｰﾀIGBT異常,high
S001,道の駅木更津うまくたの里,ANN_071_0,双方向電源_重故障①_出力過電流,high
S001,道の駅木更津うまくたの里,ANN_072_0,双方向電源_重故障①_直送過電流,high
S001,道の駅木更津うまくたの里,ANN_073_0,双方向電源_重故障①_直流過電圧,high
S001,道の駅木更津うまくたの里,ANN_074_0,双方向電源_重故障①_直流低電圧,high
S001,道の駅木更津うまくたの里,ANN_075_0,双方向電源_重故障①_蓄電池過電流,high
S001,道の駅木更津うまくたの里,ANN_076_0,双方向電源_重故障①_入力逆相(3相のみ),high
S001,道の駅木更津うまくたの里,ANN_077_0,双方向電源_重故障①_拡張ｴﾗｰ,high
S001,道の駅木更津うまくたの里,ANN_078_0,双方向電源_重故障②_BMS通信異常,high
S001,道の駅木更津うまくたの里,ANN_079_0,双方向電源_重故障②_蓄電池(BMS)異常,high
S001,道の駅木更津うまくたの里,ANN_080_0,双方向電源_重故障②_蓄電池盤異常,high
S001,道の駅木更津うまくたの里,ANN_081_0,双方向電源_重故障②_周囲温度上昇,high
S001,道の駅木更津うまくたの里,ANN_082_0,双方向電源_重故障②_PV異常,high
S001,道の駅木更津うまくたの里,ANN_083_0,PVﾕﾆｯﾄ①_動作電力制限_運転準備,status
S001,道の駅木更津うまくたの里,ANN_084_0,PVﾕﾆｯﾄ①_動作電力制限_運転,status
S001,道の駅木更津うまくたの里,ANN_085_0,PVﾕﾆｯﾄ①_動作電力制限_待機中,status
S001,道の駅木更津うまくたの里,ANN_086_0,PVﾕﾆｯﾄ①_動作電力制限_警報総合,status
S001,道の駅木更津うまくたの里,ANN_087_0,PVﾕﾆｯﾄ①_動作電力制限_発電中,status
S001,道の駅木更津うまくたの里,ANN_088_0,PVﾕﾆｯﾄ①_動作電力制限_蓄電池電圧上限制限,status
S001,道の駅木更津うまくたの里,ANN_089_0,PVﾕﾆｯﾄ①_動作電力制限_蓄電池充電電流制限,status
S001,道の駅木更津うまくたの里,ANN_090_0,PVﾕﾆｯﾄ①_軽故障_軽故障総合,low
S001,道の駅木更津うまくたの里,ANN_091_0,PVﾕﾆｯﾄ①_軽故障_ファン停止,low
S001,道の駅木更津うまくたの里,ANN_092_0,PVﾕﾆｯﾄ①_中故障_中故障総合,middle
S001,道の駅木更津うまくたの里,ANN_093_0,PVﾕﾆｯﾄ①_中故障_PVﾕﾆｯﾄ通信異常,middle
S001,道の駅木更津うまくたの里,ANN_094_0,PVﾕﾆｯﾄ①_中故障_PVﾊﾟﾈﾙ過電圧,middle
S001,道の駅木更津うまくたの里,ANN_095_0,PVﾕﾆｯﾄ①_重故障_重故障総合,high
S001,道の駅木更津うまくたの里,ANN_096_0,PVﾕﾆｯﾄ①_重故障_DCﾋｭｰｽﾞ断,high
S001,道の駅木更津うまくたの里,ANN_097_0,PVﾕﾆｯﾄ①_重故障_DC過電流,high
S001,道の駅木更津うまくたの里,ANN_098_0,PVﾕﾆｯﾄ①_重故障_DC過熱,high
S001,道の駅木更津うまくたの里,ANN_099_0,PVﾕﾆｯﾄ①_重故障_DCｱｰﾑ短絡,high
S001,道の駅木更津うまくたの里,ANN_100_0,PVﾕﾆｯﾄ①_重故障_PVﾊﾟﾈﾙ過電流,high
S001,道の駅木更津うまくたの里,ANN_101_0,PVﾕﾆｯﾄ①_重故障_直流過電圧,high
S001,道の駅木更津うまくたの里,ANN_102_0,PVﾕﾆｯﾄ①_重故障_直流低電圧,high
S001,道の駅木更津うまくたの里,ANN_103_0,PVﾕﾆｯﾄ①_重故障_蓄電池過電流,high
S001,道の駅木更津うまくたの里,ANN_104_0,PVﾕﾆｯﾄ①_重故障_SPD異常,high
S001,道の駅木更津うまくたの里,ANN_105_0,PVﾕﾆｯﾄ①_重故障_拡張ｴﾗｰ,high
S001,道の駅木更津うまくたの里,ANN_980_0,PCS 通信異常,high
