created at 2024/01/12 16:00:14
発電所ID,発電所名,設備名,タグID,信号名,単位,1min,30min,hour,day,month,year,乗数
S004,赤田太陽光発電所,-,1.1,直流電力,kW,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.2,気温,℃,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.3,日射量,kWh/m2,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.4,直流電圧V,V,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.5,直流電流,A,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.6,発電電力量,kWh,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.7,交流電圧V,V,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.8,交流電流,A,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.9,系統周波数,Hz,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.10,交流電力,kW,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.11,積算電力量カウンタ値,kWh,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.12,力率,,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.13,INV効率,,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.14,無効電力,kVar,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.15,キャビネット温度,℃,0,1,1,1,1,1,
S004,赤田太陽光発電所,-,1.16,積算電力量日,kWh,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.1,PCSA-1 直流電力,kW,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.2,PCSA-1 気温,℃,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.3,PCSA-1 日射量,kWh/m2,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.4,PCSA-1 直流電圧V,V,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.5,PCSA-1 直流電流,A,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.6,PCSA-1 発電電力量,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.7,PCSA-1 交流電圧V,V,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.8,PCSA-1 交流電流,A,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.9,PCSA-1 系統周波数,Hz,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.10,PCSA-1 交流電力,kW,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.11,PCSA-1 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.12,PCSA-1 力率,,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.13,PCSA-1 INV効率,,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.14,PCSA-1 無効電力,kVar,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.15,PCSA-1 キャビネット温度,℃,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-1,2.1.16,PCSA-1 積算電力量日,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.1,PCSA-2 直流電力,kW,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.2,PCSA-2 気温,℃,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.3,PCSA-2 日射量,kWh/m2,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.4,PCSA-2 直流電圧V,V,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.5,PCSA-2 直流電流,A,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.6,PCSA-2 発電電力量,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.7,PCSA-2 交流電圧V,V,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.8,PCSA-2 交流電流,A,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.9,PCSA-2 系統周波数,Hz,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.10,PCSA-2 交流電力,kW,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.11,PCSA-2 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.12,PCSA-2 力率,,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.13,PCSA-2 INV効率,,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.14,PCSA-2 無効電力,kVar,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.15,PCSA-2 キャビネット温度,℃,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-2,2.2.16,PCSA-2 積算電力量日,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.1,PCSA-3 直流電力,kW,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.2,PCSA-3 気温,℃,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.3,PCSA-3 日射量,kWh/m2,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.4,PCSA-3 直流電圧V,V,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.5,PCSA-3 直流電流,A,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.6,PCSA-3 発電電力量,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.7,PCSA-3 交流電圧V,V,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.8,PCSA-3 交流電流,A,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.9,PCSA-3 系統周波数,Hz,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.10,PCSA-3 交流電力,kW,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.11,PCSA-3 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.12,PCSA-3 力率,,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.13,PCSA-3 INV効率,,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.14,PCSA-3 無効電力,kVar,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.15,PCSA-3 キャビネット温度,℃,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-3,2.3.16,PCSA-3 積算電力量日,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.1,PCSA-4 直流電力,kW,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.2,PCSA-4 気温,℃,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.3,PCSA-4 日射量,kWh/m2,0,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.4,PCSA-4 直流電圧V,V,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.5,PCSA-4 直流電流,A,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.6,PCSA-4 発電電力量,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.7,PCSA-4 交流電圧V,V,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.8,PCSA-4 交流電流,A,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.9,PCSA-4 系統周波数,Hz,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.10,PCSA-4 交流電力,kW,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.11,PCSA-4 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.12,PCSA-4 力率,,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.13,PCSA-4 INV効率,,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.14,PCSA-4 無効電力,kVar,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.15,PCSA-4 キャビネット温度,℃,1,1,1,1,1,1,
S004,赤田太陽光発電所,PCSA-4,2.4.16,PCSA-4 積算電力量日,kWh,1,1,1,1,1,1,
