created at 2024/01/12 11:50:50
発電所ID,発電所名,状態・故障信号ID,状態・故障信号名,状態・故障種別
S004,赤田太陽光発電所,ANN_0212_0,PCSA-2_系統過周波数,high
S004,赤田太陽光発電所,ANN_0213_0,PCSA-2_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0214_0,PCSA-2_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0215_0,PCSA-2_出力過電流,high
S004,赤田太陽光発電所,ANN_0216_0,PCSA-2_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0217_0,PCSA-2_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0218_0,PCSA-2_接地異常,high
S004,赤田太陽光発電所,ANN_0219_0,PCSA-2_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0220_0,PCSA-2_高温,high
S004,赤田太陽光発電所,ANN_0221_0,PCSA-2_装置異常,high
S004,赤田太陽光発電所,ANN_0222_0,PCSA-2_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0231_0,PCSA-2_重故障一括,high
S004,赤田太陽光発電所,ANN_0301_0,PCSA-3_連系中,status
S004,赤田太陽光発電所,ANN_0302_0,PCSA-3_停止中,status
S004,赤田太陽光発電所,ANN_0303_0,PCSA-3_待機中,status
S004,赤田太陽光発電所,ANN_0304_0,PCSA-3_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0305_0,PCSA-3_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0306_0,PCSA-3_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0307_0,PCSA-3_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0308_0,PCSA-3_系統障害,high
S004,赤田太陽光発電所,ANN_0309_0,PCSA-3_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0310_0,PCSA-3_系統過電圧,high
S004,赤田太陽光発電所,ANN_0311_0,PCSA-3_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_0312_0,PCSA-3_系統過周波数,high
S004,赤田太陽光発電所,ANN_0313_0,PCSA-3_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0314_0,PCSA-3_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0315_0,PCSA-3_出力過電流,high
S004,赤田太陽光発電所,ANN_0316_0,PCSA-3_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0317_0,PCSA-3_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0318_0,PCSA-3_接地異常,high
S004,赤田太陽光発電所,ANN_0319_0,PCSA-3_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0320_0,PCSA-3_高温,high
S004,赤田太陽光発電所,ANN_0321_0,PCSA-3_装置異常,high
S004,赤田太陽光発電所,ANN_0322_0,PCSA-3_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0331_0,PCSA-3_重故障一括,high
S004,赤田太陽光発電所,ANN_0401_0,PCSA-4_連系中,status
S004,赤田太陽光発電所,ANN_0402_0,PCSA-4_停止中,status
S004,赤田太陽光発電所,ANN_0403_0,PCSA-4_待機中,status
S004,赤田太陽光発電所,ANN_0404_0,PCSA-4_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0405_0,PCSA-4_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0406_0,PCSA-4_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0407_0,PCSA-4_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0408_0,PCSA-4_系統障害,high
S004,赤田太陽光発電所,ANN_0409_0,PCSA-4_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0410_0,PCSA-4_系統過電圧,high
S004,赤田太陽光発電所,ANN_0411_0,PCSA-4_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_0412_0,PCSA-4_系統過周波数,high
S004,赤田太陽光発電所,ANN_0413_0,PCSA-4_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0414_0,PCSA-4_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0415_0,PCSA-4_出力過電流,high
S004,赤田太陽光発電所,ANN_0416_0,PCSA-4_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0417_0,PCSA-4_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0418_0,PCSA-4_接地異常,high
S004,赤田太陽光発電所,ANN_0419_0,PCSA-4_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0420_0,PCSA-4_高温,high
S004,赤田太陽光発電所,ANN_0421_0,PCSA-4_装置異常,high
S004,赤田太陽光発電所,ANN_0422_0,PCSA-4_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0431_0,PCSA-4_重故障一括,high
S004,赤田太陽光発電所,ANN_0501_0,PCSA-5_連系中,status
S004,赤田太陽光発電所,ANN_0502_0,PCSA-5_停止中,status
S004,赤田太陽光発電所,ANN_0503_0,PCSA-5_待機中,status
S004,赤田太陽光発電所,ANN_0504_0,PCSA-5_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0505_0,PCSA-5_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0506_0,PCSA-5_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0507_0,PCSA-5_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0508_0,PCSA-5_系統障害,high
S004,赤田太陽光発電所,ANN_0509_0,PCSA-5_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0510_0,PCSA-5_系統過電圧,high
S004,赤田太陽光発電所,ANN_0511_0,PCSA-5_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_0512_0,PCSA-5_系統過周波数,high
S004,赤田太陽光発電所,ANN_0513_0,PCSA-5_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0514_0,PCSA-5_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0515_0,PCSA-5_出力過電流,high
S004,赤田太陽光発電所,ANN_0516_0,PCSA-5_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0517_0,PCSA-5_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0518_0,PCSA-5_接地異常,high
S004,赤田太陽光発電所,ANN_0519_0,PCSA-5_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0520_0,PCSA-5_高温,high
S004,赤田太陽光発電所,ANN_0521_0,PCSA-5_装置異常,high
S004,赤田太陽光発電所,ANN_0522_0,PCSA-5_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0531_0,PCSA-5_重故障一括,high
S004,赤田太陽光発電所,ANN_0601_0,PCSA-6_連系中,status
S004,赤田太陽光発電所,ANN_0602_0,PCSA-6_停止中,status
S004,赤田太陽光発電所,ANN_0603_0,PCSA-6_待機中,status
S004,赤田太陽光発電所,ANN_0604_0,PCSA-6_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0605_0,PCSA-6_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0606_0,PCSA-6_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0607_0,PCSA-6_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0608_0,PCSA-6_系統障害,high
S004,赤田太陽光発電所,ANN_0609_0,PCSA-6_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0610_0,PCSA-6_系統過電圧,high
S004,赤田太陽光発電所,ANN_0611_0,PCSA-6_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_0612_0,PCSA-6_系統過周波数,high
S004,赤田太陽光発電所,ANN_0613_0,PCSA-6_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0614_0,PCSA-6_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0615_0,PCSA-6_出力過電流,high
S004,赤田太陽光発電所,ANN_0616_0,PCSA-6_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0617_0,PCSA-6_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0618_0,PCSA-6_接地異常,high
S004,赤田太陽光発電所,ANN_0619_0,PCSA-6_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0620_0,PCSA-6_高温,high
S004,赤田太陽光発電所,ANN_0621_0,PCSA-6_装置異常,high
S004,赤田太陽光発電所,ANN_0622_0,PCSA-6_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0631_0,PCSA-6_重故障一括,high
S004,赤田太陽光発電所,ANN_0701_0,PCSA-7_連系中,status
S004,赤田太陽光発電所,ANN_0702_0,PCSA-7_停止中,status
S004,赤田太陽光発電所,ANN_0703_0,PCSA-7_待機中,status
S004,赤田太陽光発電所,ANN_0704_0,PCSA-7_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0705_0,PCSA-7_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0706_0,PCSA-7_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0707_0,PCSA-7_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0708_0,PCSA-7_系統障害,high
S004,赤田太陽光発電所,ANN_0709_0,PCSA-7_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0710_0,PCSA-7_系統過電圧,high
S004,赤田太陽光発電所,ANN_0711_0,PCSA-7_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_0712_0,PCSA-7_系統過周波数,high
S004,赤田太陽光発電所,ANN_0713_0,PCSA-7_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0714_0,PCSA-7_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0715_0,PCSA-7_出力過電流,high
S004,赤田太陽光発電所,ANN_0716_0,PCSA-7_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0717_0,PCSA-7_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0718_0,PCSA-7_接地異常,high
S004,赤田太陽光発電所,ANN_0719_0,PCSA-7_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0720_0,PCSA-7_高温,high
S004,赤田太陽光発電所,ANN_0721_0,PCSA-7_装置異常,high
S004,赤田太陽光発電所,ANN_0722_0,PCSA-7_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0731_0,PCSA-7_重故障一括,high
S004,赤田太陽光発電所,ANN_0801_0,PCSB-1_連系中,status
S004,赤田太陽光発電所,ANN_0802_0,PCSB-1_停止中,status
S004,赤田太陽光発電所,ANN_0803_0,PCSB-1_待機中,status
S004,赤田太陽光発電所,ANN_0804_0,PCSB-1_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0805_0,PCSB-1_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0806_0,PCSB-1_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0807_0,PCSB-1_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0808_0,PCSB-1_系統障害,high
S004,赤田太陽光発電所,ANN_0809_0,PCSB-1_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0810_0,PCSB-1_系統過電圧,high
S004,赤田太陽光発電所,ANN_0811_0,PCSB-1_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_0812_0,PCSB-1_系統過周波数,high
S004,赤田太陽光発電所,ANN_0813_0,PCSB-1_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0814_0,PCSB-1_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0815_0,PCSB-1_出力過電流,high
S004,赤田太陽光発電所,ANN_0816_0,PCSB-1_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0817_0,PCSB-1_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0818_0,PCSB-1_接地異常,high
S004,赤田太陽光発電所,ANN_0819_0,PCSB-1_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0820_0,PCSB-1_高温,high
S004,赤田太陽光発電所,ANN_0821_0,PCSB-1_装置異常,high
S004,赤田太陽光発電所,ANN_0822_0,PCSB-1_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0831_0,PCSB-1_重故障一括,high
S004,赤田太陽光発電所,ANN_0901_0,PCSB-2_連系中,status
S004,赤田太陽光発電所,ANN_0902_0,PCSB-2_停止中,status
S004,赤田太陽光発電所,ANN_0903_0,PCSB-2_待機中,status
S004,赤田太陽光発電所,ANN_0904_0,PCSB-2_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0905_0,PCSB-2_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0906_0,PCSB-2_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0907_0,PCSB-2_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0908_0,PCSB-2_系統障害,high
S004,赤田太陽光発電所,ANN_0909_0,PCSB-2_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0910_0,PCSB-2_系統過電圧,high
S004,赤田太陽光発電所,ANN_0911_0,PCSB-2_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_0912_0,PCSB-2_系統過周波数,high
S004,赤田太陽光発電所,ANN_0913_0,PCSB-2_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0914_0,PCSB-2_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0915_0,PCSB-2_出力過電流,high
S004,赤田太陽光発電所,ANN_0916_0,PCSB-2_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0917_0,PCSB-2_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0918_0,PCSB-2_接地異常,high
S004,赤田太陽光発電所,ANN_0919_0,PCSB-2_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0920_0,PCSB-2_高温,high
S004,赤田太陽光発電所,ANN_0921_0,PCSB-2_装置異常,high
S004,赤田太陽光発電所,ANN_0922_0,PCSB-2_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0931_0,PCSB-2_重故障一括,high
S004,赤田太陽光発電所,ANN_1001_0,PCSB-3_連系中,status
S004,赤田太陽光発電所,ANN_1002_0,PCSB-3_停止中,status
S004,赤田太陽光発電所,ANN_1003_0,PCSB-3_待機中,status
S004,赤田太陽光発電所,ANN_1004_0,PCSB-3_STR電圧超過,high
S004,赤田太陽光発電所,ANN_1005_0,PCSB-3_直流アーク故障,high
S004,赤田太陽光発電所,ANN_1006_0,PCSB-3_自己診断失敗,high
S004,赤田太陽光発電所,ANN_1007_0,PCSB-3_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_1008_0,PCSB-3_系統障害,high
S004,赤田太陽光発電所,ANN_1009_0,PCSB-3_系統不足電圧,high
S004,赤田太陽光発電所,ANN_1010_0,PCSB-3_系統過電圧,high
S004,赤田太陽光発電所,ANN_1011_0,PCSB-3_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_1012_0,PCSB-3_系統過周波数,high
S004,赤田太陽光発電所,ANN_1013_0,PCSB-3_系統不足周波数,high
S004,赤田太陽光発電所,ANN_1014_0,PCSB-3_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_1015_0,PCSB-3_出力過電流,high
S004,赤田太陽光発電所,ANN_1016_0,PCSB-3_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_1017_0,PCSB-3_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_1018_0,PCSB-3_接地異常,high
S004,赤田太陽光発電所,ANN_1019_0,PCSB-3_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_1020_0,PCSB-3_高温,high
S004,赤田太陽光発電所,ANN_1021_0,PCSB-3_装置異常,high
S004,赤田太陽光発電所,ANN_1022_0,PCSB-3_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_1031_0,PCSB-3_重故障一括,high
S004,赤田太陽光発電所,ANN_1101_0,PCSB-4_連系中,status
S004,赤田太陽光発電所,ANN_1102_0,PCSB-4_停止中,status
S004,赤田太陽光発電所,ANN_1103_0,PCSB-4_待機中,status
S004,赤田太陽光発電所,ANN_1104_0,PCSB-4_STR電圧超過,high
S004,赤田太陽光発電所,ANN_1105_0,PCSB-4_直流アーク故障,high
S004,赤田太陽光発電所,ANN_1106_0,PCSB-4_自己診断失敗,high
S004,赤田太陽光発電所,ANN_1107_0,PCSB-4_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_1108_0,PCSB-4_系統障害,high
S004,赤田太陽光発電所,ANN_1109_0,PCSB-4_系統不足電圧,high
S004,赤田太陽光発電所,ANN_1110_0,PCSB-4_系統過電圧,high
S004,赤田太陽光発電所,ANN_1111_0,PCSB-4_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_1112_0,PCSB-4_系統過周波数,high
S004,赤田太陽光発電所,ANN_1113_0,PCSB-4_系統不足周波数,high
S004,赤田太陽光発電所,ANN_1114_0,PCSB-4_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_1115_0,PCSB-4_出力過電流,high
S004,赤田太陽光発電所,ANN_1116_0,PCSB-4_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_1117_0,PCSB-4_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_1118_0,PCSB-4_接地異常,high
S004,赤田太陽光発電所,ANN_1119_0,PCSB-4_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_1120_0,PCSB-4_高温,high
S004,赤田太陽光発電所,ANN_1121_0,PCSB-4_装置異常,high
S004,赤田太陽光発電所,ANN_1122_0,PCSB-4_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_1131_0,PCSB-4_重故障一括,high
S004,赤田太陽光発電所,ANN_1201_0,PCSB-5_連系中,status
S004,赤田太陽光発電所,ANN_1202_0,PCSB-5_停止中,status
S004,赤田太陽光発電所,ANN_1203_0,PCSB-5_待機中,status
S004,赤田太陽光発電所,ANN_1204_0,PCSB-5_STR電圧超過,high
S004,赤田太陽光発電所,ANN_1205_0,PCSB-5_直流アーク故障,high
S004,赤田太陽光発電所,ANN_1206_0,PCSB-5_自己診断失敗,high
S004,赤田太陽光発電所,ANN_1207_0,PCSB-5_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_1208_0,PCSB-5_系統障害,high
S004,赤田太陽光発電所,ANN_1209_0,PCSB-5_系統不足電圧,high
S004,赤田太陽光発電所,ANN_1210_0,PCSB-5_系統過電圧,high
S004,赤田太陽光発電所,ANN_1211_0,PCSB-5_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_1212_0,PCSB-5_系統過周波数,high
S004,赤田太陽光発電所,ANN_1213_0,PCSB-5_系統不足周波数,high
S004,赤田太陽光発電所,ANN_1214_0,PCSB-5_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_1215_0,PCSB-5_出力過電流,high
S004,赤田太陽光発電所,ANN_1216_0,PCSB-5_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_1217_0,PCSB-5_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_1218_0,PCSB-5_接地異常,high
S004,赤田太陽光発電所,ANN_1219_0,PCSB-5_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_1220_0,PCSB-5_高温,high
S004,赤田太陽光発電所,ANN_1221_0,PCSB-5_装置異常,high
S004,赤田太陽光発電所,ANN_1222_0,PCSB-5_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_1231_0,PCSB-5_重故障一括,high
S004,赤田太陽光発電所,ANN_1301_0,PCSB-6_連系中,status
S004,赤田太陽光発電所,ANN_1302_0,PCSB-6_停止中,status
S004,赤田太陽光発電所,ANN_1303_0,PCSB-6_待機中,status
S004,赤田太陽光発電所,ANN_1304_0,PCSB-6_STR電圧超過,high
S004,赤田太陽光発電所,ANN_1305_0,PCSB-6_直流アーク故障,high
S004,赤田太陽光発電所,ANN_1306_0,PCSB-6_自己診断失敗,high
S004,赤田太陽光発電所,ANN_1307_0,PCSB-6_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_1308_0,PCSB-6_系統障害,high
S004,赤田太陽光発電所,ANN_1309_0,PCSB-6_系統不足電圧,high
S004,赤田太陽光発電所,ANN_1310_0,PCSB-6_系統過電圧,high
S004,赤田太陽光発電所,ANN_1311_0,PCSB-6_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_1312_0,PCSB-6_系統過周波数,high
S004,赤田太陽光発電所,ANN_1313_0,PCSB-6_系統不足周波数,high
S004,赤田太陽光発電所,ANN_1314_0,PCSB-6_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_1315_0,PCSB-6_出力過電流,high
S004,赤田太陽光発電所,ANN_1316_0,PCSB-6_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_1317_0,PCSB-6_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_1318_0,PCSB-6_接地異常,high
S004,赤田太陽光発電所,ANN_1319_0,PCSB-6_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_1320_0,PCSB-6_高温,high
S004,赤田太陽光発電所,ANN_1321_0,PCSB-6_装置異常,high
S004,赤田太陽光発電所,ANN_1322_0,PCSB-6_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_1331_0,PCSB-6_重故障一括,high
S004,赤田太陽光発電所,ANN_1401_0,PCSB-7_連系中,status
S004,赤田太陽光発電所,ANN_1402_0,PCSB-7_停止中,status
S004,赤田太陽光発電所,ANN_1403_0,PCSB-7_待機中,status
S004,赤田太陽光発電所,ANN_1404_0,PCSB-7_STR電圧超過,high
S004,赤田太陽光発電所,ANN_1405_0,PCSB-7_直流アーク故障,high
S004,赤田太陽光発電所,ANN_1406_0,PCSB-7_自己診断失敗,high
S004,赤田太陽光発電所,ANN_1407_0,PCSB-7_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_1408_0,PCSB-7_系統障害,high
S004,赤田太陽光発電所,ANN_1409_0,PCSB-7_系統不足電圧,high
S004,赤田太陽光発電所,ANN_1410_0,PCSB-7_系統過電圧,high
S004,赤田太陽光発電所,ANN_1411_0,PCSB-7_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_1412_0,PCSB-7_系統過周波数,high
S004,赤田太陽光発電所,ANN_1413_0,PCSB-7_系統不足周波数,high
S004,赤田太陽光発電所,ANN_1414_0,PCSB-7_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_1415_0,PCSB-7_出力過電流,high
S004,赤田太陽光発電所,ANN_1416_0,PCSB-7_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_1417_0,PCSB-7_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_1418_0,PCSB-7_接地異常,high
S004,赤田太陽光発電所,ANN_1419_0,PCSB-7_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_1420_0,PCSB-7_高温,high
S004,赤田太陽光発電所,ANN_1421_0,PCSB-7_装置異常,high
S004,赤田太陽光発電所,ANN_1422_0,PCSB-7_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_1431_0,PCSB-7_重故障一括,high
S004,赤田太陽光発電所,ANN_1501_0,PCSC-1_連系中,status
S004,赤田太陽光発電所,ANN_1502_0,PCSC-1_停止中,status
S004,赤田太陽光発電所,ANN_1503_0,PCSC-1_待機中,status
S004,赤田太陽光発電所,ANN_1504_0,PCSC-1_STR電圧超過,high
S004,赤田太陽光発電所,ANN_1505_0,PCSC-1_直流アーク故障,high
S004,赤田太陽光発電所,ANN_1506_0,PCSC-1_自己診断失敗,high
S004,赤田太陽光発電所,ANN_1507_0,PCSC-1_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_1508_0,PCSC-1_系統障害,high
S004,赤田太陽光発電所,ANN_1509_0,PCSC-1_系統不足電圧,high
S004,赤田太陽光発電所,ANN_1510_0,PCSC-1_系統過電圧,high
