created at 2024/01/12 11:50:50
発電所ID,発電所名,状態・故障信号ID,状態・故障信号名,状態・故障種別
S004,赤田太陽光発電所,ANN_6001_0,リモートIOAIDI1_通信異常,high
S004,赤田太陽光発電所,ANN_6002_0,リモートIOAIDI2_通信異常,high
S004,赤田太陽光発電所,ANN_6003_0,リモートIOAIDI3_通信異常,high
S004,赤田太陽光発電所,ANN_7001_0,A工区高圧受電盤重故障一括,high
S004,赤田太陽光発電所,ANN_7002_0,Di予備A01,status
S004,赤田太陽光発電所,ANN_7003_0,Di予備A02,status
S004,赤田太陽光発電所,ANN_7004_0,Di予備A03,status
S004,赤田太陽光発電所,ANN_7005_0,Di予備A04,status
S004,赤田太陽光発電所,ANN_7006_0,Di予備A05,status
S004,赤田太陽光発電所,ANN_7007_0,Di予備A06,status
S004,赤田太陽光発電所,ANN_7008_0,Di予備A07,status
S004,赤田太陽光発電所,ANN_7009_0,Di予備A08,status
S004,赤田太陽光発電所,ANN_7010_0,Di予備A09,status
S004,赤田太陽光発電所,ANN_7011_0,Di予備A10,status
S004,赤田太陽光発電所,ANN_7012_0,Di予備A11,status
S004,赤田太陽光発電所,ANN_7013_0,Di予備A12,status
S004,赤田太陽光発電所,ANN_7101_0,E工区高圧受電盤重故障一括,high
S004,赤田太陽光発電所,ANN_7102_0,Di予備E01,status
S004,赤田太陽光発電所,ANN_7103_0,Di予備E02,status
S004,赤田太陽光発電所,ANN_7104_0,Di予備E03,status
S004,赤田太陽光発電所,ANN_7105_0,Di予備E04,status
S004,赤田太陽光発電所,ANN_7106_0,Di予備E05,status
S004,赤田太陽光発電所,ANN_7107_0,Di予備E06,status
S004,赤田太陽光発電所,ANN_7108_0,Di予備E07,status
S004,赤田太陽光発電所,ANN_9999_0,アダプタ通信異常1,high
S004,赤田太陽光発電所,ANN_9999_1,アダプタ通信異常2,high
S004,赤田太陽光発電所,ANN_9999_2,アダプタ通信異常3,high
S004,赤田太陽光発電所,ANN_0101_0,PCSA-1_連系中,status
S004,赤田太陽光発電所,ANN_0102_0,PCSA-1_停止中,status
S004,赤田太陽光発電所,ANN_0103_0,PCSA-1_待機中,status
S004,赤田太陽光発電所,ANN_0104_0,PCSA-1_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0105_0,PCSA-1_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0106_0,PCSA-1_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0107_0,PCSA-1_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0108_0,PCSA-1_系統障害,high
S004,赤田太陽光発電所,ANN_0109_0,PCSA-1_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0110_0,PCSA-1_系統過電圧,high
S004,赤田太陽光発電所,ANN_0111_0,PCSA-1_不均衡系統電圧,high
S004,赤田太陽光発電所,ANN_0112_0,PCSA-1_系統過周波数,high
S004,赤田太陽光発電所,ANN_0113_0,PCSA-1_系統不足周波数,high
S004,赤田太陽光発電所,ANN_0114_0,PCSA-1_系統不安定周波数,high
S004,赤田太陽光発電所,ANN_0115_0,PCSA-1_出力過電流,high
S004,赤田太陽光発電所,ANN_0116_0,PCSA-1_出力電流DC増大,high
S004,赤田太陽光発電所,ANN_0117_0,PCSA-1_異常漏洩電流,high
S004,赤田太陽光発電所,ANN_0118_0,PCSA-1_接地異常,high
S004,赤田太陽光発電所,ANN_0119_0,PCSA-1_低絶縁抵抗,high
S004,赤田太陽光発電所,ANN_0120_0,PCSA-1_高温,high
S004,赤田太陽光発電所,ANN_0121_0,PCSA-1_装置異常,high
S004,赤田太陽光発電所,ANN_0122_0,PCSA-1_入力STR対地電圧,high
S004,赤田太陽光発電所,ANN_0131_0,PCSA-1_重故障一括,high
S004,赤田太陽光発電所,ANN_0201_0,PCSA-2_連系中,status
S004,赤田太陽光発電所,ANN_0202_0,PCSA-2_停止中,status
S004,赤田太陽光発電所,ANN_0203_0,PCSA-2_待機中,status
S004,赤田太陽光発電所,ANN_0204_0,PCSA-2_STR電圧超過,high
S004,赤田太陽光発電所,ANN_0205_0,PCSA-2_直流アーク故障,high
S004,赤田太陽光発電所,ANN_0206_0,PCSA-2_自己診断失敗,high
S004,赤田太陽光発電所,ANN_0207_0,PCSA-2_相-PE間短絡,high
S004,赤田太陽光発電所,ANN_0208_0,PCSA-2_系統障害,high
S004,赤田太陽光発電所,ANN_0209_0,PCSA-2_系統不足電圧,high
S004,赤田太陽光発電所,ANN_0210_0,PCSA-2_系統過電圧,high
S004,赤田太陽光発電所,ANN_0211_0,PCSA-2_不均衡系統電圧,high
