created at 2024/01/12 15:52:25
発電所ID,発電所名,設備名,タグID,信号名,単位,1min,30min,hour,day,month,year,乗数
S003,山鹿ソーラーパークB発電所,-,1.1,直流電力,kW,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.2,気温,℃,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.3,日射量,kWh/m2,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.4,直流電圧V,V,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.5,直流電流,A,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.6,発電電力量,kWh,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.7,交流電圧V,V,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.8,交流電流,A,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.9,系統周波数,Hz,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.10,交流電力,kW,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.11,積算電力量カウンタ値,kWh,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.12,力率,,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.13,INV効率,,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.14,積算電力量日,kWh,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.15,MPPT1トータル入力電力,kW,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.16,MPPT2トータル入力電力,kW,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.17,MPPT3トータル入力電力,kW,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.18,MPPT4トータル入力電力,kW,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.19,キャビネット温度,℃,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,-,1.20,無効電力,kW,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.1,PCS1-1 直流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.2,PCS1-1 気温,℃,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.3,PCS1-1 日射量,kWh/m2,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.4,PCS1-1 直流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.5,PCS1-1 直流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.6,PCS1-1 発電電力量,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.7,PCS1-1 交流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.8,PCS1-1 交流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.9,PCS1-1 系統周波数,Hz,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.10,PCS1-1 交流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.11,PCS1-1 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.12,PCS1-1 力率,,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.13,PCS1-1 INV効率,,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.14,PCS1-1 積算電力量日,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.15,PCS1-1 MPPT1トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.16,PCS1-1 MPPT2トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.17,PCS1-1 MPPT3トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.18,PCS1-1 MPPT4トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.19,PCS1-1 キャビネット温度,℃,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-1,2.1.20,PCS1-1 無効電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.1,PCS1-2 直流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.2,PCS1-2 気温,℃,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.3,PCS1-2 日射量,kWh/m2,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.4,PCS1-2 直流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.5,PCS1-2 直流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.6,PCS1-2 発電電力量,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.7,PCS1-2 交流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.8,PCS1-2 交流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.9,PCS1-2 系統周波数,Hz,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.10,PCS1-2 交流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.11,PCS1-2 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.12,PCS1-2 力率,,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.13,PCS1-2 INV効率,,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.14,PCS1-2 積算電力量日,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.15,PCS1-2 MPPT1トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.16,PCS1-2 MPPT2トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.17,PCS1-2 MPPT3トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.18,PCS1-2 MPPT4トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.19,PCS1-2 キャビネット温度,℃,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-2,2.2.20,PCS1-2 無効電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.1,PCS1-3 直流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.2,PCS1-3 気温,℃,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.3,PCS1-3 日射量,kWh/m2,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.4,PCS1-3 直流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.5,PCS1-3 直流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.6,PCS1-3 発電電力量,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.7,PCS1-3 交流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.8,PCS1-3 交流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.9,PCS1-3 系統周波数,Hz,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.10,PCS1-3 交流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.11,PCS1-3 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.12,PCS1-3 力率,,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.13,PCS1-3 INV効率,,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.14,PCS1-3 積算電力量日,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.15,PCS1-3 MPPT1トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.16,PCS1-3 MPPT2トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.17,PCS1-3 MPPT3トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.18,PCS1-3 MPPT4トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.19,PCS1-3 キャビネット温度,℃,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-3,2.3.20,PCS1-3 無効電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.1,PCS1-4 直流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.2,PCS1-4 気温,℃,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.3,PCS1-4 日射量,kWh/m2,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.4,PCS1-4 直流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.5,PCS1-4 直流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.6,PCS1-4 発電電力量,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.7,PCS1-4 交流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.8,PCS1-4 交流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.9,PCS1-4 系統周波数,Hz,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.10,PCS1-4 交流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.11,PCS1-4 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.12,PCS1-4 力率,,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.13,PCS1-4 INV効率,,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.14,PCS1-4 積算電力量日,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.15,PCS1-4 MPPT1トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.16,PCS1-4 MPPT2トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.17,PCS1-4 MPPT3トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.18,PCS1-4 MPPT4トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.19,PCS1-4 キャビネット温度,℃,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-4,2.4.20,PCS1-4 無効電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.1,PCS1-5 直流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.2,PCS1-5 気温,℃,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.3,PCS1-5 日射量,kWh/m2,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.4,PCS1-5 直流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.5,PCS1-5 直流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.6,PCS1-5 発電電力量,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.7,PCS1-5 交流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.8,PCS1-5 交流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.9,PCS1-5 系統周波数,Hz,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.10,PCS1-5 交流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.11,PCS1-5 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.12,PCS1-5 力率,,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.13,PCS1-5 INV効率,,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.14,PCS1-5 積算電力量日,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.15,PCS1-5 MPPT1トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.16,PCS1-5 MPPT2トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.17,PCS1-5 MPPT3トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.18,PCS1-5 MPPT4トータル入力電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.19,PCS1-5 キャビネット温度,℃,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-5,2.5.20,PCS1-5 無効電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.1,PCS1-6 直流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.2,PCS1-6 気温,℃,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.3,PCS1-6 日射量,kWh/m2,0,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.4,PCS1-6 直流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.5,PCS1-6 直流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.6,PCS1-6 発電電力量,kWh,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.7,PCS1-6 交流電圧V,V,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.8,PCS1-6 交流電流,A,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.9,PCS1-6 系統周波数,Hz,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.10,PCS1-6 交流電力,kW,1,1,1,1,1,1,
S003,山鹿ソーラーパークB発電所,PCS1-6,2.6.11,PCS1-6 積算電力量カウンタ値,kWh,1,1,1,1,1,1,
