created at 2024/01/12 11:46:57
発電所ID,発電所名,状態・故障信号ID,状態・故障信号名,状態・故障種別
S003,山鹿ソーラーパークB発電所,ANN_001_0,OVGR,high
S003,山鹿ソーラーパークB発電所,ANN_002_0,OCR,high
S003,山鹿ソーラーパークB発電所,ANN_003_0,所内PF断,high
S003,山鹿ソーラーパークB発電所,ANN_004_0,VCB状態,status
S003,山鹿ソーラーパークB発電所,ANN_005_0,LBS1,status
S003,山鹿ソーラーパークB発電所,ANN_006_0,LBS2,status
S003,山鹿ソーラーパークB発電所,ANN_007_0,DS状態,status
S003,山鹿ソーラーパークB発電所,ANN_008_0,UVR,high
S003,山鹿ソーラーパークB発電所,ANN_009_0,所内ブレーカトリップ,high
S003,山鹿ソーラーパークB発電所,ANN_010_0,所内低圧漏電,high
S003,山鹿ソーラーパークB発電所,ANN_011_0,所内FAN異常,high
S003,山鹿ソーラーパークB発電所,ANN_6001_0,リモートIODI_通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_6002_0,リモートIOAI_通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_6003_0,SmartLogger1_通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_6004_0,SmartLogger2_通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_6005_0,SmartLogger3_通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_6006_0,マルチメーター_通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_999_0,アダプタ通信異常1,high
S003,山鹿ソーラーパークB発電所,ANN_999_1,アダプタ通信異常2,high
S003,山鹿ソーラーパークB発電所,ANN_999_2,アダプタ通信異常3,high
S003,山鹿ソーラーパークB発電所,ANN_1000_0,PCS1-1_インバータ回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1001_0,PCS1-1_残留電流異常,high
S003,山鹿ソーラーパークB発電所,ANN_1002_0,PCS1-1_筐体内部過熱,high
S003,山鹿ソーラーパークB発電所,ANN_1003_0,PCS1-1_SPI通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_1004_0,PCS1-1_低絶縁抵抗,high
S003,山鹿ソーラーパークB発電所,ANN_1005_0,PCS1-1_直流回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1006_0,PCS1-1_高DC入力電圧,high
S003,山鹿ソーラーパークB発電所,ANN_1007_0,PCS1-1_補助電源異常,high
S003,山鹿ソーラーパークB発電所,ANN_1008_0,PCS1-1_系統電圧異常,high
S003,山鹿ソーラーパークB発電所,ANN_1009_0,PCS1-1_周波数異常,high
S003,山鹿ソーラーパークB発電所,ANN_100_0,PCS1-1_連系中,status
S003,山鹿ソーラーパークB発電所,ANN_1010_0,PCS1-1_接地異常,high
S003,山鹿ソーラーパークB発電所,ANN_1011_0,PCS1-2_インバータ回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1012_0,PCS1-2_残留電流異常,high
S003,山鹿ソーラーパークB発電所,ANN_1013_0,PCS1-2_筐体内部過熱,high
S003,山鹿ソーラーパークB発電所,ANN_1014_0,PCS1-2_SPI通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_1015_0,PCS1-2_低絶縁抵抗,high
S003,山鹿ソーラーパークB発電所,ANN_1016_0,PCS1-2_直流回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1017_0,PCS1-2_高DC入力電圧,high
S003,山鹿ソーラーパークB発電所,ANN_1018_0,PCS1-2_補助電源異常,high
S003,山鹿ソーラーパークB発電所,ANN_1019_0,PCS1-2_系統電圧異常,high
S003,山鹿ソーラーパークB発電所,ANN_101_0,PCS1-1_停止中,status
S003,山鹿ソーラーパークB発電所,ANN_1020_0,PCS1-2_周波数異常,high
S003,山鹿ソーラーパークB発電所,ANN_1021_0,PCS1-2_接地異常,high
S003,山鹿ソーラーパークB発電所,ANN_1022_0,PCS1-3_インバータ回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1023_0,PCS1-3_残留電流異常,high
S003,山鹿ソーラーパークB発電所,ANN_1024_0,PCS1-3_筐体内部過熱,high
S003,山鹿ソーラーパークB発電所,ANN_1025_0,PCS1-3_SPI通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_1026_0,PCS1-3_低絶縁抵抗,high
S003,山鹿ソーラーパークB発電所,ANN_1027_0,PCS1-3_直流回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1028_0,PCS1-3_高DC入力電圧,high
S003,山鹿ソーラーパークB発電所,ANN_1029_0,PCS1-3_補助電源異常,high
S003,山鹿ソーラーパークB発電所,ANN_102_0,PCS1-1_システム障害,high
S003,山鹿ソーラーパークB発電所,ANN_1030_0,PCS1-3_系統電圧異常,high
S003,山鹿ソーラーパークB発電所,ANN_1031_0,PCS1-3_周波数異常,high
S003,山鹿ソーラーパークB発電所,ANN_1032_0,PCS1-3_接地異常,high
S003,山鹿ソーラーパークB発電所,ANN_1033_0,PCS1-4_インバータ回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1034_0,PCS1-4_残留電流異常,high
S003,山鹿ソーラーパークB発電所,ANN_1035_0,PCS1-4_筐体内部過熱,high
S003,山鹿ソーラーパークB発電所,ANN_1036_0,PCS1-4_SPI通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_1037_0,PCS1-4_低絶縁抵抗,high
S003,山鹿ソーラーパークB発電所,ANN_1038_0,PCS1-4_直流回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1039_0,PCS1-4_高DC入力電圧,high
S003,山鹿ソーラーパークB発電所,ANN_103_0,PCS1-1_ロック解除中,status
S003,山鹿ソーラーパークB発電所,ANN_1040_0,PCS1-4_補助電源異常,high
S003,山鹿ソーラーパークB発電所,ANN_1041_0,PCS1-4_系統電圧異常,high
S003,山鹿ソーラーパークB発電所,ANN_1042_0,PCS1-4_周波数異常,high
S003,山鹿ソーラーパークB発電所,ANN_1043_0,PCS1-4_接地異常,high
S003,山鹿ソーラーパークB発電所,ANN_1044_0,PCS1-5_インバータ回路異常,high
S003,山鹿ソーラーパークB発電所,ANN_1045_0,PCS1-5_残留電流異常,high
S003,山鹿ソーラーパークB発電所,ANN_1046_0,PCS1-5_筐体内部過熱,high
S003,山鹿ソーラーパークB発電所,ANN_1047_0,PCS1-5_SPI通信異常,high
S003,山鹿ソーラーパークB発電所,ANN_1048_0,PCS1-5_低絶縁抵抗,high
S003,山鹿ソーラーパークB発電所,ANN_1049_0,PCS1-5_直流回路異常,high
